Sample_ID,subspp,locality,loc_num,habitat,mass,kidney_mass,kidmass_corr,medulla,plasma_osmo,urine_osmo,UPratio,TEWL,min_H2O_osmo,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,may-june_tmax,may-june_tmin,may-june_prec
GIWA2,alaudinus,GrizzlyIs,2,Salt,16.6,NA,NA,NA,343,NA,NA,8.285,171.67,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6
GIWA3,alaudinus,GrizzlyIs,2,Salt,17.2,NA,NA,NA,338,559,1.65,7.484,171.67,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6
GIWA4,alaudinus,GrizzlyIs,2,Salt,13.4,NA,NA,NA,345,NA,NA,9.156,171.67,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6
GIWA5,alaudinus,GrizzlyIs,2,Salt,16.5,NA,NA,NA,361,NA,NA,7.123,171.67,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6
GIWA6,alaudinus,GrizzlyIs,2,Salt,16.7,NA,NA,NA,333,700,2.1,9.183,171.67,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6
GIWA7,alaudinus,GrizzlyIs,2,Salt,16,NA,NA,NA,372,619,1.66,8.277,171.67,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6
GIWA8,alaudinus,GrizzlyIs,2,Salt,16,NA,NA,NA,347,753,2.17,8.826,171.67,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6
PMB_1899,alaudinus,NapaMarsh,3,Salt,17.8,0.138,0.007752809,24.23,341.5,700,2.05,NA,589.67,14.64583333,12.75833333,54.99281609,412.7868608,27,3.8,23.2,9.416666667,19.11666667,19.4,9.416666667,678,155,1,97.42701157,385,7,10,385,10.25,24.2,7.5
PMB_1900,alaudinus,NapaMarsh,3,Salt,17,0.126,0.007411765,24.98,341.5,618,1.81,NA,589.67,14.64583333,12.75833333,54.99281609,412.7868608,27,3.8,23.2,9.416666667,19.11666667,19.4,9.416666667,678,155,1,97.42701157,385,7,10,385,10.25,24.2,7.5
PMB_1901,alaudinus,NapaMarsh,3,Salt,16.9,0.126,0.007455621,18.87,NA,NA,NA,NA,589.67,14.64583333,12.75833333,54.99281609,412.7868608,27,3.8,23.2,9.416666667,19.11666667,19.4,9.416666667,678,155,1,97.42701157,385,7,10,385,10.25,24.2,7.5
PMB_1902,alaudinus,NapaMarsh,3,Salt,17.4,0.116,0.006666667,30.38,341.5,638,1.87,NA,589.67,14.64583333,12.75833333,54.99281609,412.7868608,27,3.8,23.2,9.416666667,19.11666667,19.4,9.416666667,678,155,1,97.42701157,385,7,10,385,10.25,24.2,7.5
